id,code,team,web_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
51,167473,4,Izquierdo,167473,60,59,31,789,0,2,3,10,0,0,0,1,0,0,0,95,75.4,77.3,147.0,30.0
52,83543,4,Knockaert,83543,55,52,74,1828,2,6,3,41,0,0,0,4,1,0,2,293,389.6,580.8,345.0,131.4
53,227127,4,Bissouma,227127,50,46,43,1764,0,0,3,32,0,0,0,5,0,0,0,170,253.4,213.0,201.0,66.8
54,66242,4,Pröpper,66242,50,48,72,2546,1,1,4,45,0,0,0,2,0,0,3,351,389.2,279.1,121.0,79.2
55,109345,4,March,109345,50,47,94,2459,1,6,6,40,0,0,0,1,0,0,5,342,474.6,684.5,405.0,156.6
56,38490,4,Kayal,38490,45,44,36,935,1,1,4,17,0,0,0,4,0,0,0,136,224.0,59.3,53.0,33.6
57,40845,4,Stephens,40845,45,43,65,2484,1,1,5,46,0,0,0,6,1,0,4,404,498.2,249.3,88.0,83.6
475,78916,4,Burn,78916,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
83,51927,5,Mee,51927,50,46,81,3420,0,2,8,68,2,0,0,9,0,0,5,572,885.4,113.8,238.0,123.9
84,17761,5,Tarkowski,17761,50,47,97,3086,3,2,7,63,0,0,0,8,0,0,7,524,1023.2,69.8,450.0,154.5
85,68983,5,Lowton,68983,50,46,34,1748,0,0,4,41,0,0,0,7,0,0,1,269,338.0,158.6,48.0,54.6
86,17997,5,Bardsley,17997,45,42,33,1670,0,0,4,27,1,0,0,9,0,0,0,224,267.8,139.6,66.0,47.4
87,103914,5,Taylor,103914,45,44,82,3240,0,1,7,64,0,0,0,2,0,0,2,505,649.4,268.5,30.0,94.9
88,41674,5,Long,41674,45,41,16,513,0,1,1,9,0,0,0,0,0,0,0,101,147.8,11.6,8.0,16.8
89,83312,5,Gibson,83312,50,48,6,62,1,0,0,3,0,0,0,1,0,0,0,17,42.4,0.4,33.0,7.6
90,44699,5,Barnes,44699,60,56,122,2378,12,3,7,41,1,0,0,8,0,0,13,394,581.2,309.9,1042.0,192.9
91,60689,5,Wood,60689,65,63,131,2580,10,3,7,49,0,0,0,2,0,0,17,379,475.8,310.3,911.0,167.9
92,81183,5,Vydra,81183,60,56,21,310,1,1,0,7,0,0,0,1,0,0,0,61,70.4,33.7,114.0,21.4
93,98747,5,Pope,98747,50,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
95,15749,5,Hart,15749,45,42,69,1710,0,0,4,41,0,1,0,0,0,77,7,378,594.6,10.1,0.0,60.3
96,60586,5,Gudmundsson,60586,60,55,92,1743,3,7,5,39,0,0,0,2,0,0,6,339,456.2,574.1,380.0,141.1
97,433154,5,McNeil,433154,45,44,75,1590,3,4,5,25,0,0,0,2,0,0,6,305,405.2,442.8,279.0,112.5
98,90517,5,Brady,90517,55,54,20,714,0,1,1,17,0,0,0,3,1,0,0,77,102.0,194.1,85.0,38.2
99,39847,5,Defour,39847,55,53,10,449,0,0,0,14,0,0,0,0,0,0,0,70,61.4,36.6,0.0,9.9
100,83314,5,Hendrick,83314,55,52,73,2058,2,2,4,44,0,0,0,4,0,0,3,243,233.8,205.3,269.0,70.6
101,60551,5,Westwood,60551,45,46,111,2821,2,8,7,55,0,0,0,5,0,0,10,518,623.0,643.1,253.0,152.3
102,40145,5,Cork,40145,50,46,87,3312,1,2,8,63,0,0,0,6,0,0,0,446,491.4,309.7,240.0,104.3
430,17349,5,Lennon,17349,50,49,41,1214,1,1,3,22,0,0,0,1,0,0,2,133,151.6,121.2,108.0,38.0
103,82263,6,Alonso,82263,65,62,161,2759,2,8,14,28,0,0,0,6,0,0,21,702,619.0,520.1,475.0,161.7
104,102380,6,Rüdiger,102380,60,59,116,2871,1,2,12,35,0,0,0,7,0,0,9,609,566.8,143.6,273.0,98.5
105,41328,6,Azpilicueta,41328,65,64,158,3402,1,6,16,39,0,0,0,4,0,0,11,822,815.0,525.1,286.0,163.2
106,41270,6,David Luiz,41270,55,58,164,3238,3,2,16,36,0,0,0,3,0,0,19,794,859.0,358.7,363.0,158.0
107,109533,6,Emerson,109533,55,52,22,660,0,0,2,11,0,0,0,0,0,0,1,130,104.6,113.8,81.0,30.0
108,135363,6,Christensen,135363,55,50,22,615,0,0,3,7,0,0,0,1,0,0,0,133,120.6,8.4,6.0,13.6
109,105700,6,Zappacosta,105700,55,50,9,125,0,0,1,0,0,0,0,0,0,0,0,30,17.4,14.7,29.0,6.1
110,44346,6,Giroud,44346,80,77,55,828,2,4,6,5,0,0,0,1,0,0,2,169,183.2,253.6,519.0,94.5
